"Url","пила","copyright","sum of hits"
"https://arenda911.by/rules","0"," 1"," 1"
"https://arenda911.by/contact","0"," 1"," 1"
"https://arenda911.by/electrotools","4"," 1"," 5"
"https://arenda911.by/glueguns","0"," 1"," 1"
"https://arenda911.by/gastools","1"," 1"," 2"
"https://arenda911.by/concretemixers","0"," 1"," 1"
"https://arenda911.by","1"," 1"," 2"
"https://arenda911.by/homeandcar","0"," 1"," 1"
"https://arenda911.by/measuringtools","0"," 1"," 1"
"https://arenda911.by/services","0"," 1"," 1"
"https://arenda911.by/drill","0"," 1"," 1"
